pclass,sex,age,sibsp,parch,fare,adult_male,deck,embark_town,alone,survived
3,male,,0,0,56.4958,True,,Southampton,True,1
2,male,,0,0,0.0,True,,Southampton,True,0
1,male,,0,0,221.7792,True,C,Southampton,True,0
3,female,18.0,0,1,9.35,False,,Southampton,False,1
2,female,31.0,1,1,26.25,False,,Southampton,False,1
3,male,21.0,0,0,8.4333,True,,Southampton,True,0
3,male,26.0,0,0,56.4958,True,,Southampton,True,1
1,male,,0,0,227.525,True,,Cherbourg,True,0
3,male,,0,0,7.75,True,,Queenstown,True,1
3,female,31.0,1,0,18.0,False,,Southampton,False,0
1,male,56.0,0,0,35.5,True,A,Cherbourg,True,1
3,female,21.0,1,0,9.825,False,,Southampton,False,0
3,male,,8,2,69.55,True,,Southampton,False,0
1,male,56.0,0,0,26.55,True,,Southampton,True,0
3,male,21.0,0,0,7.8,True,,Southampton,True,0
1,female,33.0,1,0,90.0,False,C,Queenstown,False,1
3,male,21.0,0,0,7.7333,True,,Queenstown,True,0
3,male,,0,0,7.25,True,,Southampton,True,0
3,male,43.0,0,0,6.45,True,,Southampton,True,0
3,female,,3,1,25.4667,False,,Southampton,False,0
3,male,30.0,1,0,16.1,True,,Southampton,False,0
1,female,32.0,0,0,76.2917,False,D,Cherbourg,True,1
1,female,,0,0,79.2,False,,Cherbourg,True,1
2,male,19.0,0,0,10.5,True,,Southampton,True,1
3,male,24.0,0,0,7.8958,True,,Southampton,True,0
2,female,45.0,0,0,13.5,False,,Southampton,True,1
3,male,23.0,0,0,7.8958,True,,Southampton,True,0
3,male,42.0,0,1,8.4042,True,,Southampton,False,0
1,female,39.0,1,1,83.1583,False,E,Cherbourg,False,1
3,male,16.0,0,0,8.05,True,,Southampton,True,1
3,male,,0,0,7.8958,True,,Southampton,True,0
2,male,66.0,0,0,10.5,True,,Southampton,True,0
1,male,28.0,0,0,26.55,True,C,Southampton,True,1
2,male,51.0,0,0,12.525,True,,Southampton,True,0
2,male,47.0,0,0,15.0,True,,Southampton,True,0
3,male,18.0,0,0,8.05,True,,Southampton,True,1
2,male,36.0,0,0,13.0,True,,Southampton,True,0
2,female,30.0,0,0,13.0,False,,Southampton,True,1
2,female,22.0,1,1,29.0,False,,Southampton,False,1
3,female,,0,0,7.75,False,,Queenstown,True,0
2,male,25.0,0,0,13.0,True,,Southampton,True,0
3,male,,0,0,7.2292,True,,Cherbourg,True,0
2,female,32.0,0,0,13.0,False,,Southampton,True,1
3,male,,0,0,7.775,True,,Southampton,True,1
3,female,19.0,1,0,7.8542,False,,Southampton,False,1
1,male,52.0,0,0,30.5,True,C,Southampton,True,1
1,male,71.0,0,0,34.6542,True,A,Cherbourg,True,0
3,male,32.0,0,0,7.925,True,,Southampton,True,0
3,male,19.0,0,0,7.65,True,F,Southampton,True,0
3,male,,1,0,15.5,True,,Queenstown,False,0
3,female,22.0,0,0,9.8375,False,,Southampton,True,0
1,male,50.0,1,0,55.9,True,E,Southampton,False,0
3,male,4.0,3,2,27.9,False,,Southampton,False,0
1,female,36.0,1,2,120.0,False,B,Southampton,False,1
1,male,19.0,1,0,53.1,True,D,Southampton,False,0
1,female,30.0,0,0,31.0,False,,Cherbourg,True,1
3,male,,0,0,56.4958,True,,Southampton,True,1
3,male,30.0,0,0,7.25,True,,Southampton,True,0
3,male,21.0,0,0,8.05,True,,Southampton,True,0
2,male,30.0,1,0,24.0,True,,Cherbourg,False,0
2,female,18.0,0,1,23.0,False,,Southampton,False,1
3,male,19.0,0,0,0.0,True,,Southampton,True,0
1,female,38.0,0,0,227.525,False,C,Cherbourg,True,1
3,male,10.0,3,2,27.9,False,,Southampton,False,0
2,male,,0,0,0.0,True,,Southampton,True,0
3,female,29.0,1,1,10.4625,False,G,Southampton,False,0
